  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  5.4000e-13         151.280710643         95070411.3085        7984.83641101        -116234.498615        -108249.662204 
  5.4500e-13         151.282141969         150644059.133        7984.91195866        -116209.088198        -108224.176239 
  5.5000e-13         151.275820092         139114929.287        7984.57827997        -116180.674341        -108196.096061 
  5.5500e-13         151.262644538         220108473.219        7983.88285329        -116150.207405        -108166.324552 
  5.6000e-13         151.241653152         262766590.464        7982.77489457        -116117.677061        -108134.902167 
  5.6500e-13         151.211748559         106016336.574        7981.19648258        -116083.502945        -108102.306463 
  5.7000e-13         151.163977055         108452907.116        7978.67502667        -116047.451609        -108068.776583 
  5.7500e-13         151.090988853         229785662.823        7974.82259334         -116008.74779        -108033.925197 
  5.8000e-13          150.98276338         184648905.083        7969.11028079         -115967.04801        -107997.937729 
  5.8500e-13         150.839471786         55082615.6559        7961.54712268        -115922.431233         -107960.88411 
  5.9000e-13         150.660845942         266455537.808        7952.11896665        -115874.788333        -107922.669367 
  5.9500e-13         150.449665736         220514821.548        7940.97253962        -115823.843469         -107882.87093 
  6.0000e-13         150.210882763         279612375.458        7928.36919472        -115770.606577        -107842.237382 
  6.0500e-13         149.948999487         205107125.314        7914.54657907        -115715.738942        -107801.192363 
  6.1000e-13         149.673371061         265562529.752        7899.99847254        -115660.259514        -107760.261041 
  6.1500e-13         149.396821925         272666164.742        7885.40176952        -115605.770775        -107720.369005 
  6.2000e-13         149.124701949         289881960.375        7871.03884455        -115552.328404        -107681.289559 
  6.2500e-13         148.865467358         200411456.373        7857.35603069         -115500.51988        -107643.163849 
  6.3000e-13         148.620469603         396597279.437        7844.42465971        -115450.753019        -107606.328359 
  6.3500e-13            148.407136         408303183.793          7833.164573        -115404.088059        -107570.923486 
  6.4000e-13         148.220898021         197400955.391        7823.33463638        -115358.718015        -107535.383378 
  6.4500e-13         148.063320031         213757295.601        7815.01741957        -115315.448822        -107500.431402 
  6.5000e-13         147.931098565         333105590.114        7808.03856038        -115273.220529        -107465.181968 
  6.5500e-13         147.830091687         258842348.843        7802.70725678        -115232.338987         -107429.63173 
  6.6000e-13         147.752336045          391058163.16         7798.6031904        -115191.583779        -107392.980588 
  6.6500e-13         147.699820476         302209896.569        7795.83133515        -115150.793779        -107354.962444 
  6.7000e-13         147.668203108         223092323.762        7794.16252021        -115109.916167        -107315.753646 
  6.7500e-13         147.656757457         155183241.813        7793.55840055         -115068.07418         -107274.51578 
  6.8000e-13         147.667036636         281907436.228        7794.10095197        -115024.822548        -107230.721596 
  6.8500e-13         147.698974311         118448526.447        7795.78667322        -114979.807559        -107184.020886 
  6.9000e-13         147.750011916         433402807.367        7798.48051918        -114931.932181        -107133.451661 
  6.9500e-13         147.819803221         149573849.419        7802.16421519        -114881.328483        -107079.164268 
  7.0000e-13         147.896606553         161615791.686        7806.21801718        -114826.931963        -107020.713946 
  7.0500e-13         147.973148135         143930500.338        7810.25800354        -114768.463163        -106958.205159 
  7.1000e-13         148.044968073         263067517.019        7814.04877403        -114705.793344         -106891.74457 
  7.1500e-13         148.104173554         256970799.757        7817.17373345        -114639.008407        -106821.834673 
  7.2000e-13         148.141478298         43946797.4464        7819.14273715        -114568.166887         -106749.02415 
  7.2500e-13         148.164927445         104160471.925        7820.38042041         -114495.70798         -106675.32756 
  7.3000e-13         148.178063005         154555504.773        7821.07373615        -114423.371659        -106602.297923 
  7.3500e-13         148.180076866         43394684.1916        7821.18003093        -114352.402545        -106531.222514 
  7.4000e-13         148.177031099         215875918.428        7821.01927049        -114284.689781        -106463.670511 
